evidence_id,observation_id,hypothesis_id,claim,evidence,source_type,source_grade,source_title,source_url,date,jurisdiction,supports_or_challenges,notes
E011,HK-CROSSBORDER-001,"H1|H2","[历史事实/规定] 2012年香港政府宣布推出粤港跨境私家车一次性临时配额试验计划，理由包括近年来粤港交流日益频繁；该方案与常规配额制度并存。","香港政府公告记录了试验方案的推出背景、时间和企业申请条件。",official government announcement,A,"LCQ19: Implementation details for cross-boundary private cars ad hoc quota trial scheme","https://www.info.gov.hk/gia/general/201202/15/P201202150244.htm",2012-02-15,香港/广东, supports,"material_class: historical_fact_and_policy; a specific ad hoc scheme, not proof of the origin of all regular two-plate vehicles"
E012,HK-CROSSBORDER-001,"H2|H3","[历史事实/政策响应] 2017年港珠澳大桥通车前，粤港政府因申请反应踊跃、需求强烈，将使用港珠澳大桥的香港跨境私家车配额由3,000增加至10,000。","香港运输署公告将配额增加明确归因于需求和大桥启用前的安排。",official government announcement,A,"Quota for Hong Kong cross-boundary private cars using HZMB to be increased","https://www.info.gov.hk/gia/general/201712/12/P2017121200394.htm",2017-12-12,香港/广东/港珠澳大桥, supports,"material_class: historical_fact_and_policy_response; supports demand and infrastructure hypotheses but does not prove first appearance"
E013,HK-CROSSBORDER-001,H1,"[历史事实/官方二手记录] 广东省政府2000年审批事项清理文件，将港澳入出境车辆及驾驶员牌证的依据追溯到1984年广东省公安厅暂行规定、1988年国务院办公厅复函和1992年广东省政府加强直通港澳车辆管理通知。","官方行政目录列出1984、1988、1992年文件名称和文号，但未提供这些原始文件全文。",official retrospective administrative record,A,"关于省人民政府审批制度改革及各部门审批核准事项清理审核有关问题的通知","https://www.gd.gov.cn/zwgk/gongbao/2000/21/content/post_3360107.html",2000,广东/港澳, supports,"material_class: historical_fact_recorded_in_official_secondary_source; original 1984/1988/1992 texts remain an evidence gap"
E014,HK-CROSSBORDER-001,"H1|H2","[历史事实/规定] 2012年官方答复称，常规跨境车辆由香港和广东共同配额管理；车辆需有广东公安厅批准通知书、香港运输署封闭道路许可证并完成其他内地手续；当时约有24,000辆相关车辆。","香港政府答复说明审批链条、联合管理和当时规模，并提到常规配额主要服务具有内地投资或公务、商务需要的主体。",official legislative reply,A,"LCQ17: Cross-boundary vehicle licences and ad hoc quota trial scheme for cross-boundary private cars","https://www.info.gov.hk/gia/general/201202/22/P201202220250.htm",2012-02-22,香港/广东, supports,"material_class: historical_fact_and_rule; the 2012 eligibility criteria should not be assumed unchanged in 2026"
E015,HK-CROSSBORDER-001,"H1|H3|H5","[历史事实/规定] 港车北上于2023年实施，通过港珠澳大桥允许符合条件的香港私家车往来广东，并逐步形成与传统常规配额不同的 designated scheme；官方资料还提到广东停车场对香港单牌车辆识别的便利化。","香港政府及运输部门资料将港车北上描述为无需常规配额的指定方案，并记录单牌识别等后续便利化安排。",official scheme information,A,"Northbound Travel for Hong Kong Vehicles","https://www.hzmbqfs.gov.hk/en/",2023-07,香港/广东/港珠澳大桥, supports,"material_class: current_scheme_history; shows that visible plate configuration alone cannot identify the scheme"
E016,HK-CROSSBORDER-001,"H3|H5","[历史事实/规定] 粤车南下于2025年年底启动；2026年6月宣布扩大至大湾区九个内地城市，并安排港珠澳大桥香港口岸停车转乘飞机服务；新城市车辆自2026年6月15日起可使用Park & Fly，进入香港市区的预约出行自2026年7月25日起扩展。","香港政府公布了方案启动、机场停车服务和2026年扩容的具体时间。",official government announcement,A,"Expansion arrangements of Southbound Travel for Guangdong Vehicles announced","https://www.info.gov.hk/gia/general/202606/08/P2026060800603.htm",2026-06-08,香港/广东/港珠澳大桥/香港国际机场, supports,"material_class: historical_fact_and_current_rule; this timing is highly relevant to an airport observation on 2026-08-20, but does not identify the observed vehicle"
E017,HK-CROSSBORDER-001,"H2|H3|H5","[历史事实/官方统计] 截至2024年12月底，香港五个陆路口岸每日平均跨境车辆约42,400架次，其中港珠澳大桥香港口岸约11,900架次。","香港运输署运输资料年报提供口岸分项的日均跨境车辆架次。",official statistics,A,"Fact Sheet on Transport","https://www.td.gov.hk/en/publications_and_press_releases/publications/free_publications/fact_sheet_on_transport/index.html",2025-07,香港/广东, supports,"material_class: historical_fact_and_official_statistic; aggregates vehicle types and does not isolate two-plate cars"
E018,HK-CROSSBORDER-001,"H2|H3|H5","[历史事实/官方统计] 香港海关资料显示，港珠澳大桥香港口岸私家车进出总架次由2024年的3,371,000增至2025年的4,069,000，增幅约21%。","香港海关2026—27年度预算答复提供2024、2025年各陆路口岸私家车架次及变化。",official statistics,A,"Examination of Estimates of Expenditure 2026-27","https://www.customs.gov.hk/hcms/filemanager/en/share/pdf/replies_fcq_2027_e.pdf",2026,香港/港珠澳大桥, supports,"material_class: historical_fact_and_official_statistic; private-car aggregate includes more than traditional two-plate vehicles"
E019,HK-CROSSBORDER-001,"H2|H3","[研究材料/历史事实] 一项2025年研究使用广东高速公路收费系统2023年9月的623,133条港澳车辆有效OD记录，研究港澳车辆在广东的空间流动及影响因素。","研究使用大样本车辆流动数据，适合检验跨境车辆实际流向，但不直接证明牌照审批规则或驾驶证管理。",academic research,B,"Spatial Patterns and Influencing Factors of Hong Kong and Macao Vehicle Flows in Guangdong Province","https://www.rddl.com.cn/EN/10.13284/j.cnki.rddl.20250699",2025,广东/港澳, supports,"material_class: research_material; useful for behavior and spatial patterns, not a legal source"
E020,HK-CROSSBORDER-001,"H2|H3","[研究材料/行为证据] 2023年关于港珠澳大桥跨境出行行为的研究使用问卷和行为模型分析跨境旅行选择，指出交通方式、公共交通和出行条件会影响跨境出行决策。","该研究可以辅助检验基础设施和出行需求假设，但不能替代官方法规、配额或车辆登记材料。",academic research,B,"Cross-Border Travel Behavior Analysis of Hong Kong-Zhuhai-Macao Bridge Using MXL-BMA Model","https://onlinelibrary.wiley.com/doi/10.1155/2023/6690346",2023,港珠澳大桥/粤港澳, supports,"material_class: research_material; behavior study, not direct evidence of two-plate vehicle origin"
E021,HK-CROSSBORDER-001,"H1|H3|H5","[推论/待验证] 仅凭机场看到的双牌外观，无法判断车辆属于传统常规配额两地牌、港车北上、粤车南下，还是其他跨境车辆类别。","传统常规配额制度、港车北上和粤车南下分别有不同的配额、许可证、车辆和驾驶人条件；观察卡未记录许可证、车牌位置和车辆属地。",comparative synthesis,A,"Comparison of official regular-quota and designated-scheme materials","research/urban-observation/evidence/evidence-ledger.csv",2026-08,香港/广东, challenges,"material_class: inference; this row is an analytical conclusion from E002, E007, E012, E015 and E016, not a rule"
E022,HK-CROSSBORDER-001,"H3|H5","[推论/待验证] 2026年8月20日机场观察到双牌车，时间上可能与2025年底启动、2026年夏季扩容的粤车南下及机场Park & Fly/Park & Visit安排有关，但这只能解释“为什么此时更容易看见”，不能证明该方案创造了传统两地牌车。","官方时间线显示粤车南下在观察日期前数月启动并在2026年6—7月扩容，且机场停车转乘服务已开放；观察卡没有记录车辆所属方案。",comparative synthesis,A,"Timing comparison between the airport observation and Southbound Travel expansion","research/urban-observation/evidence/evidence-ledger.csv",2026-08,香港国际机场, supports,"material_class: inference; must be tested by vehicle type, plate format, permit, parking location and operator interview"
E023,HK-CROSSBORDER-001,"H4|H5","[不确定] 左舵与右舵并存的制度解释尚未完成：官方材料确认两地道路系统和方向盘位置不同，也确认香港允许特定跨境左舵车辆例外通行，但目前没有找到足以说明传统两地牌车辆整体方向盘构成的统计或统一准入规则。","现有官方道路安全和立法材料能证明规则差异与例外许可，不能从中推导观察车辆的方向盘位置或整个车队的左右舵比例。",official guidance plus evidence gap,A,"Unresolved steering-layout evidence gap","https://www.info.gov.hk/gia/general/202404/10/P2024041000311.htm",2026,香港/广东,neutral,"material_class: uncertainty; next evidence should include vehicle inspection standards, permit conditions and fleet composition"
E024,MO-TRAFFIC-001,"H1|H2|H3|H5","[观察] 澳门街头存在没有交通灯的人行横道；在观察范围内，多数接近车辆出现减速或停车让行，且未注意到明显的红绿灯或交通摄像头。","观察卡记录了无信号灯人行横道、行人准备过街以及车辆减速或停车，但没有记录道路、时段、样本数量和具体让行比例。","field observation",E,"MO-TRAFFIC-001 Observation Card","research/urban-observation/observations/macau/MO-TRAFFIC-001.yaml",undated,澳门,neutral,"material_class: direct_observation; absence of visible equipment is not proof of absence; ‘多数’ remains unquantified"
E025,MO-TRAFFIC-001,H1,"[规定] 澳门《道路交通法》第37条规定，接近有适当信号标明、但不是由交通灯或执法人员指挥的人行横道时，驾驶员应减速或在必要时停车，让正在横过车行道的行人通过；转弯时也有相应的行人让行义务。","现行道路交通法把人行横道及行人优先通过纳入驾驶人的法定义务，为无交通灯场景提供了非信号控制的行为规则。法条规定的直接对象是‘正在横过’的行人，不等于现场司机都会对尚未进入横道的行人提前让行。","official regulation",A,"澳门《道路交通法》","https://www.al.gov.mo/uploads/attachment/2016-10/324565811b5cd558cf.pdf",2016,澳门,supports,"material_class: current_rule; the text directly supports H1 but does not establish actual compliance or that every observed vehicle was already legally required to stop"
E026,MO-TRAFFIC-001,"H1|H5","[规定] 澳门《道路交通法》第103条把违反第37条的不让行人先行列为违法，并规定罚金为澳门币600元至2,500元；累犯另有更高罚金及禁驾后果。","处罚条款使不让行存在可预期的金钱和责任成本，支持司机在不确定时选择减速；但该条款本身不能估计被发现概率或实际威慑强度。","official regulation",A,"澳门《道路交通法》罚则条文","https://www.al.gov.mo/uploads/attachment/2016-10/324565811b5cd558cf.pdf",2016,澳门,supports,"material_class: current_rule; statutory penalty is evidence of formal deterrence, not evidence that enforcement is constant"
E027,MO-TRAFFIC-001,"H1|H2","[道路设计规定] 澳门交通信号及道路标志标线手册把斑马线、人行横道标志、注意行人标志和减速预告标记作为道路信息设施，并要求结合道路环境设置和维护。","官方手册说明，过街秩序并不只依赖红绿灯；标线、标志和减速提示本身也承担向司机传递过街位置及注意义务的功能。","official road-design guidance",A,"澳门交通信号手册","https://www.dsat.gov.mo/pdf/TrafficSignalHandBook_tc.pdf",2025,澳门,supports,"material_class: current_guidance; handbook is a design and information standard, not a measurement of drivers’ behavior"
E028,MO-TRAFFIC-001,H2,"[道路工程事实] 交通事务局公开的道路优化工程包括调整斑马线位置、增设行人安全岛、导流线、弹力分道标、纵向减速标线和人行横道预告标记等组合措施。","官方个案说明，减速标线和预告标记用于在斑马线前提示驾驶者控制车速；安全岛和导流设施则改变过街及车辆行驶的空间关系，支持道路几何和交通工程替代部分信号控制功能的解释。","official road-design material",A,"氹仔蘇利安圓形地引入減速標線優化行人過路環境","https://www.dsat.gov.mo/dsat/news_detail.aspx?a_id=4E314D0CBDF093A1BC6E7C5F2D5CB82A",2024-03-12,澳门,supports,"material_class: current administrative practice; this is a site-specific project and does not prove the observed location had every listed facility"
E029,MO-TRAFFIC-001,"H1|H5","[执法与宣传] 澳门治安警察局公开交通安全资料持续要求驾驶者接近人行横道时减速，并让正在横过的行人先行；这表明规则通过日常宣传和执法部门的可见信息被反复传递。","官方材料强化了司机对人行横道规则的预期，支持法律规则与执法信息共同塑造行为，但不等于证明现场让行率。","official enforcement material",A,"守护生命，从遵守交通规则开始","https://www.fsm.gov.mo/psp/cht/SaU240215.html",2024-02-15,澳门,supports,"material_class: current safety communication; public guidance is not a direct observation of compliance"
E030,MO-TRAFFIC-001,H5,"[历史执法事实] 澳门交通事务局与警方曾公开在斑马线附近开展联合宣传及执法行动，要求驾驶者让行并对违规行为进行处理，说明秩序不只依赖现场可见的固定摄像头。","移动巡逻、现场警员和事后调查等执法方式不一定在观察者视野内出现，因此‘没有看到摄像头’不能推出‘没有监督’。","official enforcement material",A,"交通事务局与警方联合开展行人过路安全宣传及执法行动","https://www.gov.mo/zh-hans/news/75017/",2013-06-15,澳门,supports,"material_class: historical_fact; dated enforcement evidence cannot establish current coverage or enforcement intensity at the observed crossing"
E031,MO-TRAFFIC-001,H5,"[公共治理规定] 2024年澳门公共地方视频监视相关行政资料确认，公共空间视频监视是正式的公共安全治理工具；但资料没有证明观察到的人行横道设有专用摄像头，也没有证明该摄像头用于自动识别不让行。","公共空间可能存在观察者不易辨认的监控设施或其他用途的摄像设备，支持H5的‘不可见监督’可能性，同时保留用途和位置的不确定性。","official surveillance record",A,"公共地方视频监视资料","https://bo.io.gov.mo/isapi/go.asp?d=despseg-92-2024cn",2024,澳门,supports,"material_class: current administrative record; existence of public-space surveillance is not equivalent to crosswalk-specific enforcement"
E032,MO-TRAFFIC-001,H5,"[监控基础设施事实] 交通事务局提供交通控制中心及实时路面摄像资料，说明澳门具备集中查看部分道路状况的监控基础设施。","实时交通页面支持‘存在观察者未必能在现场看到的远端监控’这一可能性，但公开实时画面不能证明每一条无灯人行横道都被持续记录或用于处罚。","official traffic-monitoring service",A,"交通控制及实时路况","https://www.dsat.gov.mo/realtime_core.aspx?lang=sc",2026-08,澳门,supports,"material_class: current service; camera availability, retention, analytics and enforcement linkage remain unverified"
E033,MO-TRAFFIC-001,"H1|H3|H5","[反证/官方统计] 澳门警方交通统计仍记录斑马线不让先违法个案；治安警察局2025年报第165页列有619宗‘斑马线无让先’处罚。","该统计直接反驳‘澳门司机普遍自动遵守’或‘有规则就没有违规’的强版本；现场观察到的多数让行与总体存在违规可以同时成立。","official statistics",A,"治安警察局2025年报第165页：交通违法统计","https://www.fsm.gov.mo/psp/cht/revista%20da%20psp/pdf/2025/165/",2025,澳门,challenges,"material_class: historical_fact_and_official_statistic; recorded cases depend on detection and reporting, and cannot be converted into a violation rate without exposure data"
E034,MO-TRAFFIC-001,"H1|H2","[历史事实] 澳门交通治理经历了1993年道路交通规章到2007年《道路交通法》的制度演变，现行人行横道规则嵌入较新的综合交通法制，而不是临时形成的街头惯例。","两份官方法制文件提供制度路径证据：早期规则先行，2007年综合法律重订交通行为、车辆和道路秩序框架。历史路径支持规则长期积累的解释，但不能单独证明司机让行的因果效果。","historical official regulation",A,"第17/93/M号法令；第3/2007号法律","https://bo.io.gov.mo/bo/i/93/32/declei17_cn.asp | https://www.al.gov.mo/uploads/attachment/2016-10/324565811b5cd558cf.pdf","1993; 2007",澳门,supports,"material_class: historical_fact; the legal sequence does not identify when observed behavior changed or which amendment mattered"
E035,MO-TRAFFIC-001,"H2|H3","[研究材料] 关于无信号灯人行横道的事件模型研究把司机让行视为由行人和车辆到达、车距、速度及现场情境共同影响的决策，而不是单一摄像头或红绿灯变量的结果。","跨地区学术研究为‘道路条件＋即时互动’机制提供可检验的比较框架；它不是澳门本地证据，不能替代本地法规和现场计数。","academic research",B,"Event-Based Modeling of Driver Yielding Behavior at Unsignalized Crosswalks","https://pmc.ncbi.nlm.nih.gov/articles/PMC3156582/",2011,跨地区,challenges,"material_class: research_material; jurisdiction mismatch; useful for mechanism design and falsification, not for estimating Macau’s yielding rate"
E036,MO-TRAFFIC-001,"H1|H2","[研究材料] 关于城市改良型人行横道标志的研究报告显示，改变标志设计能够影响司机对过街位置和让行要求的识别，从而改变让行行为。","该结果支持道路信息设施可以独立于信号灯影响司机行为，但研究场景和标志制式与澳门可能不同。","academic research",B,"Effectiveness of modified pedestrian crossing signs in an urban area","https://doi.org/10.1016/j.jtte.2021.04.001",2021,跨地区,supports,"material_class: research_material; jurisdiction and design mismatch; use as a comparative mechanism, not as Macau-specific proof"
E037,MO-TRAFFIC-001,"H1|H2|H3|H5","[推论/竞争性解释综合] 目前最稳妥的解释不是‘司机单纯靠自觉’，而是法定让行规则、可读的道路设计、司机与行人的即时协调，以及不一定可见的巡逻、监控和事故追责共同生产街道秩序。","E025—E036分别支持规则、工程、互动和监督机制，同时E033显示违规仍存在；因此应把澳门现象理解为多重机制叠加，而非单一文化或单一摄像头效应。","comparative synthesis",A,"MO-TRAFFIC-001 layered mechanism synthesis","research/urban-observation/evidence/evidence-ledger.csv",2026-08,澳门,supports,"material_class: inference; synthesis is provisional and should be tested with repeated site observations, speed/geometry coding, interviews and enforcement records"
E038,MO-TRAFFIC-001,"H1|H2|H3|H4|H5","[不确定] 现有材料仍无法量化‘多数车辆让行’的实际比例，也无法确认观察点的摄像头覆盖、司机车辆类型差异、行人意图识别过程或不同街区之间的稳定性。","观察卡缺少地点、时间、样本分母和连续视频；官方材料能说明规则、设施和治理能力，却不能替代对同一路段的系统行为计数。","analytical synthesis",E,"MO-TRAFFIC-001 unresolved evidence gaps","research/urban-observation/observations/macau/MO-TRAFFIC-001.yaml",2026-08,澳门,neutral,"material_class: uncertainty; next step is structured observation across sites and time periods, with vehicle type, approach speed, pedestrian intention and camera/road-design coding"
E039,MO-CURRENCY-001,,"[观察] 观察记录称澳门体量很小，港币广泛使用，但澳门仍保留澳门元。","观察卡只记录了澳门、港币和澳门元的并存判断，未记录具体商户、交易场景、价格标示、找零方式、观察日期或样本数量。","field observation",E,"MO-CURRENCY-001 Observation Card","research/urban-observation/observations/macau/MO-CURRENCY-001.yaml",undated,澳门,neutral,"material_class: direct_observation; ‘广泛使用’和‘体量很小’均待量化，不能由该观察推出居民储蓄或投资货币"
E040,MO-CURRENCY-001,"H1|H4","[规定] 第10/2023号法律规定澳门元是澳门特别行政区的法定货币；货币发行特权属于澳门特别行政区政府，由澳门金融管理局负责确保货币发行，并规定法定货币具有法偿力。","法律把澳门元的法定地位、政府发行权和金融管理机构职责写入现行制度，因此澳门元不是仅供商户选择的兑换媒介，而是行政和法律体系的本地记账与清算单位。","official regulation",A,"第10/2023号法律《货币发行法律制度》","https://bo.dsaj.gov.mo/bo/i/2023/25/lei10_cn.asp",2023,澳门,supports,"material_class: current_rule;法定货币地位不等于所有交易实际优先使用澳门元"
E041,MO-CURRENCY-001,"H1|H3","[规定] 第16/95/M号法令要求在澳门商业活动中出售货物或提供服务者明确以澳门元标示价格，并允许同时以其他货币标价；生产要素报酬包括工资原则上推定以本地货币表示，使用本地或境外银行卡及销售点电子支付时则以澳门元结算。","现行规则把澳门元嵌入价格、工资和电子支付的正式计价层，同时没有因此排除其他货币在部分交易中的使用，形成‘本地计价单位＋多货币实际流通’的制度组合。","official regulation",A,"第16/95/M号法令《本地货币的使用》","https://bo.dsaj.gov.mo/bo/i/95/14/declei16_cn.asp?mobile=1",1995,澳门,supports,"material_class: current_rule;该法令经后续法律适应和部分修订，须与第10/2023号法律合并阅读；规定不等于商户和居民实际行为"
E042,MO-CURRENCY-001,"H2|H3","[官方旅游信息] 澳门旅游局说明澳门商品和服务收费一律以澳门元计算，同时说明港币100元约兑换澳门元103元，并强调机场、码头、酒店、银行和找换店均提供兑换服务。","官方面向旅客的说明把澳门元作为价格单位，又把港币作为低兑换摩擦的外来货币处理，支持旅游和跨境场景中的双货币并存；但该页面不是商户接受率或居民行为调查。","official tourism information",A,"澳门旅游局实用资料：货币与支付","https://www.macaotourism.gov.mo/zh-hant/travelessential/before-you-travel/practical-info",2026,澳门,supports,"material_class: current administrative information;页面面向旅客，不能代表所有商户、居民或行业"
E043,MO-CURRENCY-001,H2,"[反证/官方调查] 消费者委员会在近180间超市和便利店的调查中发现，受访商号普遍接受港元和人民币，但只有约六成能在营业范围内清晰标示澳门元与外币兑换率。","调查同时显示外币接受度和兑换信息透明度并不相同，挑战‘港币与澳门元之间完全无摩擦、按同一价值交换’的强版本；商户接受港币仍可能伴随汇率、找零和信息成本。","official consumer survey",A,"第316期《澳门消费》：调查超市便利店接受付款方式","https://www.gov.mo/zh-hans/news/276542/?noredirect=zh_hans",2020,澳门,challenges,"material_class: historical_fact_and_official_survey;调查于2019年前后开展并于2020年发布，不能直接外推至2026年或居民储蓄行为"
E044,MO-CURRENCY-001,"H1|H2","[制度事实] 澳门采用货币发行局制度，澳门元与港元实行联系汇率，发钞代理行按1港元兑1.03澳门元向澳门金融管理局交付等值港元；澳门元发行须有不低于100%的外汇储备支持。","货币制度以储备和可兑换承诺压低澳门元与港币之间的汇率风险，使两种货币可以在本地并存，而不必通过取消澳门元来获得稳定性。","official yearbook",A,"2025澳门年鉴：货币政策与澳门元","https://yearbook.gcs.gov.mo/yearbook_pdf/2025/myb2025c.pdf",2025,澳门,supports,"material_class: current monetary arrangement;制度稳定和兑换承诺不等于零手续费或商户按1:1接受港币"
E045,MO-CURRENCY-001,"H2|H5","[官方统计] 2026年6月澳门M2为8,476亿澳门元，其中澳门元、港元、人民币和美元占比分别为32.4%、43.2%、8.0%和14.6%；银行体系总存款中港元占44.1%、澳门元占18.6%，总贷款中港元占40.2%、澳门元占22.1%。","银行体系的货币结构显示港元在金融体系中并非只存在于游客现金交易，澳门元也没有退出金融系统；但这些是银行体系总体数据，不能直接等同于澳门居民家庭的储蓄或投资选择。","official statistics",A,"2026年6月货币及金融统计","https://cdn.amcm.gov.mo/uploads/attachment/2026-08/MFS_202606_cn.pdf",2026-06,澳门,supports,"material_class: official_statistic;居民和非居民存款、本地私人部门和对外部门贷款均涵盖个人及企业，不能据此识别居民家庭货币份额"
E046,MO-CURRENCY-001,"H1|H2","[官方统计] 2026年7月底澳门外汇储备资产初步为2,431亿澳门元，约相当于流通货币的11倍或2026年6月底M2中澳门元部分的88.4%。","外汇储备规模和覆盖比例说明澳门元的稳定性背后有可观的储备资产和制度性覆盖，而不是单纯依靠市场对澳门元的象征性信任。","official statistics",A,"2026年7月外汇储备数字及澳汇指数","https://www.gov.mo/zh-hans/news/929008/?noredirect=zh_hans",2026-07,澳门,supports,"material_class: official_statistic;储备数字为初步统计，覆盖比例使用不同期末指标，不能直接推导商户或居民的货币偏好"
